original_language,budget,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
fr,10000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
en,27000000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
en,60000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,650000,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
en,3000000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
en,55000000,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
en,54000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,10000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
en,40000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,175000000,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
en,10000000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
en,42000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
tr,10000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,7000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,1000000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
en,8000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,45000000,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
en,12000000,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fr,22000000,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
en,42000000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
en,6000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
en,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
en,10000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,35000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,68000000,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
en,2000000,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
en,30000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
en,14600000,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
en,7000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,150000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,54000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
en,12000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
en,48000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
it,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
en,90000000,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
en,15000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
en,6000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
no,800000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
en,30000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
en,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
zh,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
fr,2000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
en,115000000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
en,12300000,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
en,8900000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
it,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,34200000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,7000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
en,7500000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,18000000,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
en,30000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,80000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
en,15000000,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
en,80000000,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
en,6000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
en,19000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
en,225000000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
en,2000000,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,50000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pl,2159280,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,10000000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
en,75000000,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
en,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
en,29000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,20000000,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,5000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,12500000,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,8000000,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
en,14000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
en,80000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
en,2000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
en,76000000,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
en,16000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
